id_appointment,id_cust,id_pegawai,pelayanan,tanggal,cara_pembayaran,total
APT00001,CUST00001,PGW011,Facial,2025-01-27,Cash,100000
APT00002,CUST00002,PGW001,Manicure,2024-09-22,Cash,60000
APT00003,CUST00003,PGW024,Manicure,2024-11-10,E-Wallet,60000
APT00004,CUST00004,PGW007,Smoothing,2025-02-23,Cash,250000
APT00005,CUST00005,PGW021,Smoothing,2024-07-06,E-Wallet,250000
APT00006,CUST00006,PGW020,Potong Rambut,2025-03-28,Credit Card,50000
APT00007,CUST00007,PGW018,Cuci Blow,2024-06-01,Credit Card,40000
APT00008,CUST00008,PGW023,Pedicure,2024-07-07,E-Wallet,70000
APT00009,CUST00009,PGW019,Pedicure,2024-12-04,E-Wallet,70000
APT00010,CUST00010,PGW022,Potong Rambut,2024-12-05,E-Wallet,50000
APT00011,CUST00011,PGW004,Creambath,2025-03-09,E-Wallet,75000
APT00012,CUST00012,PGW027,Facial,2024-06-19,Credit Card,100000
APT00013,CUST00013,PGW030,Eyelash Extension,2024-06-30,Credit Card,150000
APT00014,CUST00014,PGW030,Facial,2024-12-10,Debit,100000
APT00015,CUST00015,PGW009,Eyelash Extension,2024-07-05,Debit,150000
APT00016,CUST00016,PGW003,Pedicure,2025-01-26,Cash,70000
APT00017,CUST00017,PGW015,Facial,2025-01-16,Debit,100000
APT00018,CUST00018,PGW028,Facial,2024-09-19,Credit Card,100000
APT00019,CUST00019,PGW018,Hair Spa,2024-06-21,Credit Card,120000
APT00020,CUST00020,PGW006,Potong Rambut,2025-02-14,Debit,50000
APT00021,CUST00021,PGW030,Hair Coloring,2025-05-27,E-Wallet,200000
APT00022,CUST00022,PGW001,Facial,2025-01-19,Credit Card,100000
APT00023,CUST00023,PGW026,Potong Rambut,2025-02-11,Cash,50000
APT00024,CUST00024,PGW020,Manicure,2024-10-15,Debit,60000
APT00025,CUST00025,PGW023,Hair Coloring,2025-01-01,Debit,200000
APT00026,CUST00026,PGW002,Manicure,2025-04-05,Cash,60000
APT00027,CUST00027,PGW016,Potong Rambut,2025-03-24,Cash,50000
APT00028,CUST00028,PGW018,Eyelash Extension,2025-04-06,E-Wallet,150000
APT00029,CUST00029,PGW006,Facial,2024-09-05,Debit,100000
APT00030,CUST00030,PGW001,Cuci Blow,2025-05-08,Credit Card,40000
APT00031,CUST00031,PGW004,Cuci Blow,2024-12-12,E-Wallet,40000
APT00032,CUST00032,PGW009,Facial,2024-10-08,Debit,100000
APT00033,CUST00033,PGW027,Hair Spa,2024-12-05,Credit Card,120000
APT00034,CUST00034,PGW005,Facial,2024-10-26,Cash,100000
APT00035,CUST00035,PGW014,Smoothing,2025-02-05,Credit Card,250000
APT00036,CUST00036,PGW023,Creambath,2024-09-03,Cash,75000
APT00037,CUST00037,PGW011,Smoothing,2025-02-03,Cash,250000
APT00038,CUST00038,PGW015,Potong Rambut,2024-12-22,Debit,50000
APT00039,CUST00039,PGW029,Hair Coloring,2024-11-13,E-Wallet,200000
APT00040,CUST00040,PGW026,Manicure,2024-07-18,Debit,60000
APT00041,CUST00041,PGW024,Eyelash Extension,2024-07-25,Credit Card,150000
APT00042,CUST00042,PGW017,Hair Coloring,2024-07-03,Debit,200000
APT00043,CUST00043,PGW029,Cuci Blow,2024-06-18,Cash,40000
APT00044,CUST00044,PGW010,Facial,2024-12-29,E-Wallet,100000
APT00045,CUST00045,PGW028,Facial,2024-10-20,E-Wallet,100000
APT00046,CUST00046,PGW026,Manicure,2025-02-20,Cash,60000
APT00047,CUST00047,PGW009,Facial,2024-12-16,E-Wallet,100000
APT00048,CUST00048,PGW013,Hair Coloring,2024-06-08,E-Wallet,200000
APT00049,CUST00049,PGW017,Cuci Blow,2024-11-09,Credit Card,40000
APT00050,CUST00050,PGW026,Cuci Blow,2025-01-22,Credit Card,40000
APT00051,CUST00051,PGW016,Creambath,2024-07-09,Credit Card,75000
APT00052,CUST00052,PGW004,Cuci Blow,2024-10-03,Debit,40000
APT00053,CUST00053,PGW015,Facial,2024-12-14,Credit Card,100000
APT00054,CUST00054,PGW030,Potong Rambut,2024-09-18,Cash,50000
APT00055,CUST00055,PGW007,Hair Coloring,2024-06-03,E-Wallet,200000
APT00056,CUST00056,PGW017,Creambath,2024-10-24,Debit,75000
APT00057,CUST00057,PGW006,Facial,2025-03-18,Debit,100000
APT00058,CUST00058,PGW013,Eyelash Extension,2024-06-03,E-Wallet,150000
APT00059,CUST00059,PGW013,Creambath,2025-01-24,Debit,75000
APT00060,CUST00060,PGW001,Smoothing,2025-04-11,E-Wallet,250000
APT00061,CUST00061,PGW016,Creambath,2024-12-10,Debit,75000
APT00062,CUST00062,PGW013,Cuci Blow,2024-06-07,E-Wallet,40000
APT00063,CUST00063,PGW009,Manicure,2025-01-30,Cash,60000
APT00064,CUST00064,PGW005,Pedicure,2024-09-28,Debit,70000
APT00065,CUST00065,PGW026,Creambath,2024-10-15,Cash,75000
APT00066,CUST00066,PGW010,Smoothing,2024-12-03,Debit,250000
APT00067,CUST00067,PGW023,Potong Rambut,2024-10-08,Cash,50000
APT00068,CUST00068,PGW011,Facial,2024-09-23,Cash,100000
APT00069,CUST00069,PGW015,Smoothing,2024-07-10,Credit Card,250000
APT00070,CUST00070,PGW008,Smoothing,2025-04-16,Credit Card,250000
APT00071,CUST00071,PGW013,Potong Rambut,2024-11-14,Debit,50000
APT00072,CUST00072,PGW011,Potong Rambut,2024-12-01,Debit,50000
APT00073,CUST00073,PGW004,Potong Rambut,2025-01-24,Credit Card,50000
APT00074,CUST00074,PGW020,Hair Coloring,2024-07-27,Credit Card,200000
APT00075,CUST00075,PGW014,Smoothing,2024-09-17,Credit Card,250000
APT00076,CUST00076,PGW017,Eyelash Extension,2025-05-22,Cash,150000
APT00077,CUST00077,PGW014,Hair Spa,2025-05-15,Cash,120000
APT00078,CUST00078,PGW005,Cuci Blow,2025-02-10,E-Wallet,40000
APT00079,CUST00079,PGW009,Cuci Blow,2024-08-02,Credit Card,40000
APT00080,CUST00080,PGW025,Creambath,2025-01-22,Cash,75000
APT00081,CUST00081,PGW026,Eyelash Extension,2025-01-13,Credit Card,150000
APT00082,CUST00082,PGW006,Hair Coloring,2024-08-22,Cash,200000
APT00083,CUST00083,PGW007,Cuci Blow,2024-12-21,Debit,40000
APT00084,CUST00084,PGW024,Hair Spa,2024-09-21,Cash,120000
APT00085,CUST00085,PGW002,Creambath,2025-01-30,E-Wallet,75000
APT00086,CUST00086,PGW029,Smoothing,2025-04-20,Cash,250000
APT00087,CUST00087,PGW015,Hair Spa,2024-11-27,Credit Card,120000
APT00088,CUST00088,PGW002,Smoothing,2025-04-15,Credit Card,250000
APT00089,CUST00089,PGW030,Facial,2024-06-08,Credit Card,100000
APT00090,CUST00090,PGW013,Eyelash Extension,2024-07-16,Debit,150000
APT00091,CUST00091,PGW024,Manicure,2024-12-01,E-Wallet,60000
APT00092,CUST00092,PGW028,Facial,2025-02-01,Debit,100000
APT00093,CUST00093,PGW020,Potong Rambut,2024-06-30,Debit,50000
APT00094,CUST00094,PGW029,Smoothing,2025-05-17,E-Wallet,250000
APT00095,CUST00095,PGW003,Potong Rambut,2024-10-17,Debit,50000
APT00096,CUST00096,PGW011,Smoothing,2024-12-20,Debit,250000
APT00097,CUST00097,PGW024,Cuci Blow,2024-09-12,Debit,40000
APT00098,CUST00098,PGW022,Hair Spa,2024-11-17,Debit,120000
APT00099,CUST00099,PGW017,Hair Spa,2025-04-04,Cash,120000
APT00100,CUST00100,PGW014,Manicure,2025-01-29,Credit Card,60000
